,Original,Tendencia-ciclo
1991-01,3.9339220355003452,3.7594123087512443
1991-02,3.753363402903089,3.7609218911787576
1991-03,3.6985867438013296,3.76213480780253
1991-04,3.6934736132851635,3.765353226090765
1991-05,3.695731888218382,3.769742814344645
1991-06,3.7028876910134527,3.774342538888365
1991-07,3.7197827317548966,3.7793203118519827
1991-08,3.7196174533051254,3.787483050119043
1991-09,3.751946068543742,3.7986139978233933
1991-10,3.8278535344681743,3.8092635079655874
1991-11,3.9077871078680033,3.8191061163774065
1991-12,3.954432020732465,3.8264509367916677
1992-01,3.9754849812987487,3.8304466132782617
1992-02,3.82990192864104,3.8339736983774184
1992-03,3.8368322742562326,3.8389126788451637
1992-04,3.740988425184294,3.8451042543227514
1992-05,3.756774264886156,3.852378363836696
1992-06,3.8176467145737556,3.860884390235047
1992-07,3.8449151533181603,3.869340456774986
1992-08,3.851638607480647,3.875613622875126
1992-09,3.8316975861454483,3.8794377870055805
1992-10,3.9063980731167423,3.8819430581801297
1992-11,3.9419302490928487,3.88286431026109
1992-12,3.9585823773249347,3.8853540775025097
1993-01,4.005141081054044,3.892936326751579
1993-02,3.907727232593973,3.9019962175802165
1993-03,3.939364476838683,3.908659804803859
1993-04,3.8196618852098085,3.913775881243301
1993-05,3.8540947989267806,3.9182665343740553
1993-06,3.866762791566798,3.9224985044949583
1993-07,3.901203987951984,3.927355869966259
1993-08,3.9076913421059762,3.9309344443613674
1993-09,3.870979957310678,3.9334307982663446
1993-10,3.932571384190407,3.9374890794054904
1993-11,4.011798137028686,3.942665193022973
1993-12,4.060416858135483,3.946775866810203
1994-01,4.0432053152668805,3.9495692166159917
1994-02,3.929776272651119,3.954567322554939
1994-03,3.978629422556753,3.961547650847794
1994-04,3.8981339973513895,3.9669112879353734
1994-05,3.9157788661446524,3.9712048436856984
1994-06,3.940275130649669,3.9750797634843336
1994-07,3.92687614675093,3.9786372855615757
1994-08,3.9674640286633753,3.982471023914981
1994-09,3.943248305087294,3.9856136579951618
1994-10,3.987714834788996,3.9877225502863984
1994-11,4.03759329260534,3.989594695820801
1994-12,4.057047317909339,3.9944280935899457
1995-01,4.132533036229306,4.0026396182048805
1995-02,4.024147638297711,4.008322569448635
1995-03,4.033460614544038,4.009751878379971
1995-04,3.9065023413665307,4.010500711320765
1995-05,3.972074971261379,4.011840350503887
1995-06,3.9813607673268945,4.012622308038514
1995-07,3.9735156682702883,4.012189185935003
1995-08,3.980471631507096,4.011455029295237
1995-09,3.9610824704756986,4.011032918589044
1995-10,3.998629747230666,4.011067554152768
1995-11,4.074024569965747,4.013181188281075
1995-12,4.13178253804435,4.014673413359262
1996-01,4.128139162345335,4.01130298495848
1996-02,3.9885455593316865,4.007324293374757
1996-03,4.00989363829124,4.006742918695814
1996-04,3.9235737270517728,4.0075301060241175
1996-05,3.9592197558354907,4.0089697119373024
1996-06,3.9527704561780834,4.011662232100183
1996-07,3.9960279815534943,4.014568128705565
1996-08,3.9747810496444798,4.017236023328713
1996-09,3.9775488749768146,4.02017642713042
1996-10,4.04333098432428,4.0220177804987465
1996-11,4.077719729494082,4.022045060210276
1996-12,4.094511429965571,4.022413443669071
1997-01,4.122751750964044,4.0259617619253
1997-02,4.027974760513356,4.031928359106887
1997-03,4.007032336527492,4.0378340306375815
1997-04,4.00886092981801,4.043701328779845
1997-05,4.001278427031868,4.049218190934269
1997-06,4.003907043980449,4.054616055216675
1997-07,4.033482624738114,4.060724083972617
1997-08,4.018052482281529,4.067561420305546
1997-09,4.029962860254427,4.0751825302209355
1997-10,4.088931209934019,4.083253635646873
1997-11,4.138919651941452,4.091685957261769
1997-12,4.20639180167916,4.099832753345746
1998-01,4.235873267010968,4.10395285405854
1998-02,4.082702151271839,4.1028775561243185
1998-03,4.1029459903155265,4.102193299309599
1998-04,4.048354682992449,4.103437543973369
1998-05,4.048874447533989,4.10393833793288
1998-06,4.060705905986385,4.104699717228524
1998-07,4.07170263412359,4.107437834664492
1998-08,4.0729676092853815,4.111837548696578
1998-09,4.071362357924143,4.116412129629966
1998-10,4.12068022296847,4.120973417295951
1998-11,4.192473475812634,4.124921207612375
1998-12,4.2107960498358095,4.1267655704284385
1999-01,4.196217241192979,4.128494582138103
1999-02,4.120303959094216,4.1323681581548675
1999-03,4.152611339683429,4.136912764194301
1999-04,4.088598495153275,4.141059875057981
1999-05,4.106171933961646,4.145347303028047
1999-06,4.126569371745458,4.148977857715811
1999-07,4.124166660380757,4.151594358932804
1999-08,4.121914486662253,4.154157172407092
1999-09,4.106813458264614,4.157172575806632
1999-10,4.149638696474103,4.161045835112644
1999-11,4.228847249362346,4.164891341635202
1999-12,4.2444098149022,4.1676087514077444
2000-01,4.2476217223563815,4.169485169132126
2000-02,4.174130658204443,4.171198121965027
2000-03,4.208176795578693,4.172897960039452
2000-04,4.093269408117676,4.1741763156463545
2000-05,4.152679642527718,4.175603700820378
2000-06,4.151979122806565,4.177165153079933
2000-07,4.153345897496066,4.178323010543755
2000-08,4.15904235192576,4.179014056713747
2000-09,4.122311989512833,4.1794507896913204
2000-10,4.1630379675179725,4.181122469432005
2000-11,4.231353647220831,4.18485110437449
2000-12,4.250719143489251,4.189405461867799
2001-01,4.2862123324712105,4.192586496292585
2001-02,4.188102375911217,4.193817294601589
2001-03,4.220862206689319,4.194221730772604
2001-04,4.116185257977137,4.194912671824726
2001-05,4.177535277408765,4.196963930315371
2001-06,4.168687093483732,4.199376206757747
2001-07,4.176846269921572,4.201946402584097
2001-08,4.192907981167489,4.2053785810803666
2001-09,4.163194379477283,4.207789321744612
2001-10,4.214261377971909,4.208613583697057
2001-11,4.255266357362866,4.208815839908652
2001-12,4.247702953414449,4.209122626582363
2002-01,4.269793371532883,4.21114578717116
2002-02,4.212107655605564,4.215128236050106
2002-03,4.212823493464752,4.219423925196074
2002-04,4.2005914887017495,4.223511959350667
2002-05,4.222901259082453,4.2266230471604835
2002-06,4.186273551785261,4.22846896493971
2002-07,4.234914571356691,4.2301223402284505
2002-08,4.202445406746722,4.23140373409711
2002-09,4.190144803441863,4.23176034843706
2002-10,4.212815285219184,4.232932633996622
2002-11,4.271925635937735,4.236693732949683
2002-12,4.280454514807656,4.242027466869246
2003-01,4.321640002106071,4.247919117121259
2003-02,4.261050444603221,4.2524015840651535
2003-03,4.267589222656511,4.255111311089241
2003-04,4.20682198128693,4.258482078459671
2003-05,4.242985715011862,4.262400680041291
2003-06,4.230884451964907,4.266733268965653
2003-07,4.290120998951784,4.27104565151628
2003-08,4.228807304110389,4.274026575010568
2003-09,4.2448189933487015,4.276902825582178
2003-10,4.291226253647866,4.27977203842859
2003-11,4.305456502043067,4.282214553225011
2003-12,4.33452104339979,4.284904313382525
2004-01,4.32977270718396,4.28784064317053
2004-02,4.284808223190523,4.292106182880821
2004-03,4.3402447520042,4.29755386541849
2004-04,4.265091824406982,4.301789744533567
2004-05,4.276465169243669,4.304665496169474
2004-06,4.287297118601737,4.307986306809156
2004-07,4.322947189363372,4.310731964338315
2004-08,4.263554846256762,4.312478722260567
2004-09,4.285528631649294,4.3152486182710454
2004-10,4.314942979695869,4.318638870761162
2004-11,4.358260339906152,4.322272036175813
2004-12,4.373410353531817,4.326244829211915
2005-01,4.374204044087559,4.329520801642593
2005-02,4.326966678736121,4.3315895216847276
2005-03,4.336172713196631,4.333770392192894
2005-04,4.31305008912509,4.33694078927979
2005-05,4.314967080935723,4.340579326717174
2005-06,4.32660145936373,4.345191029248439
2005-07,4.34701881583613,4.349856550427429
2005-08,4.323461301277775,4.353905147101795
2005-09,4.329110254189185,4.358127814706142
2005-10,4.361897342646087,4.362645456772928
2005-11,4.4047623585619995,4.367780407863759
2005-12,4.4089044429840545,4.3727889384887995
2006-01,4.403397621157459,4.377574613493105
2006-02,4.3718103308817975,4.38390425321942
2006-03,4.432424402265732,4.390937866816272
2006-04,4.330561165465097,4.397988160306685
2006-05,4.410225333145918,4.4056243988681265
2006-06,4.385578140354975,4.412968689246671
2006-07,4.408048237789392,4.420705999160949
2006-08,4.4004279662754575,4.429374599969523
2006-09,4.409783208050919,4.4385708248406965
2006-10,4.483407172742745,4.4463490758272295
2006-11,4.482243043321181,4.450942648874054
2006-12,4.463638957433821,4.4554122374906155
2007-01,4.504178365558511,4.461337574786217
2007-02,4.460941909841863,4.466730577009635
2007-03,4.498930740295513,4.471798823529487
2007-04,4.434319123656457,4.477365179303193
2007-05,4.485508920875063,4.482662459047583
2007-06,4.469120219503105,4.486935755743498
2007-07,4.483451855807578,4.490577768379684
2007-08,4.477113162651819,4.4939137310558825
2007-09,4.451266183100242,4.4970361691736835
2007-10,4.51870586820701,4.500839990812223
2007-11,4.537893158241823,4.5048015810965465
2007-12,4.51648481629053,4.508957737101412
2008-01,4.554449298270896,4.5138683170417435
2008-02,4.531369303662077,4.517511020574293
2008-03,4.527669626682205,4.519674432406279
2008-04,4.512761068609911,4.5215322323477185
2008-05,4.523768036083216,4.522066733359987
2008-06,4.501041316431607,4.521213572091458
2008-07,4.525847707620483,4.519713240352907
2008-08,4.490309911949629,4.517100200943351
2008-09,4.487404761839125,4.513793703481578
2008-10,4.536193839507458,4.510181437339237
2008-11,4.53460392540915,4.505303194700379
2008-12,4.508286878607169,4.4992621810409075
2009-01,4.501738530660324,4.4938157642675804
2009-02,4.468333771619693,4.490850778702098
2009-03,4.524983344536114,4.490454631085883
2009-04,4.449405950446361,4.491112188093304
2009-05,4.474870064664615,4.492224654132428
2009-06,4.472124588031943,4.494190705696931
2009-07,4.489607555506618,4.49712183444469
2009-08,4.470713963554572,4.500604668901808
2009-09,4.4824531387411675,4.503818462818173
2009-10,4.51327553995177,4.506646632062802
2009-11,4.5327852748195046,4.510143898662483
2009-12,4.547421304432858,4.514402754759242
2010-01,4.534543537328024,4.518192819838268
2010-02,4.511455181265217,4.522166675886752
2010-03,4.581755680241081,4.526038329480322
2010-04,4.492460617852494,4.5282679026576895
2010-05,4.518490275039341,4.530340878380648
2010-06,4.515438874199956,4.533032375467691
2010-07,4.52685506947755,4.535667592900869
2010-08,4.5105125484217625,4.5381953335374785
2010-09,4.520458805033138,4.540451459067767
2010-10,4.5433998449422175,4.542410544212692
2010-11,4.574718518165681,4.544549295464695
2010-12,4.572339728382852,4.547348369839602
2011-01,4.5674534781955165,4.550534279185736
2011-02,4.550583784850603,4.553476417105545
2011-03,4.601373289591257,4.556640930648991
2011-04,4.524411419714109,4.560013079893717
2011-05,4.558132854339769,4.562519620755134
2011-06,4.550039719166988,4.5644334142946015
2011-07,4.545148079279219,4.566347534989557
2011-08,4.536659632524242,4.56894218819954
2011-09,4.548153727919004,4.572829621510123
2011-10,4.582990191350273,4.576958110367028
2011-11,4.609512432774102,4.580642154048582
2011-12,4.604216962514918,4.584907480340096
2012-01,4.610722654365557,4.58991625255027
2012-02,4.61682457341872,4.593976276402322
2012-03,4.642654031756261,4.596282072674069
2012-04,4.556402467856745,4.597727995661135
2012-05,4.597469466310183,4.5988105754657225
2012-06,4.577224580057399,4.599925629713588
2012-07,4.58376726574392,4.601684974588333
2012-08,4.581379704584988,4.604191845368939
2012-09,4.5810067964320025,4.606525811013137
2012-10,4.609777637562659,4.608468160387114
2012-11,4.653144219308562,4.610881634967121
2012-12,4.646445875077399,4.612116400186098
2013-01,4.621603282787144,4.611432053310439
2013-02,4.6036523427466305,4.611647068129332
2013-03,4.642614440152818,4.613113812280527
2013-04,4.583099378428786,4.614392820649449
2013-05,4.612256543641835,4.616355978591525
2013-06,4.6018713290378495,4.618902923424938
2013-07,4.610496201752546,4.621042132387492
2013-08,4.600098428340973,4.623102180230921
2013-09,4.600051901991126,4.624826616617667
2013-10,4.628808255230833,4.626276231504775
2013-11,4.655769128854408,4.628463831504579
2013-12,4.652925585449326,4.631431263503764
2014-01,4.648473511235418,4.634993052390753
2014-02,4.651200947171177,4.638496111179299
2014-03,4.682364281446433,4.640790392686446
2014-04,4.5983483133374,4.642427388484613
2014-05,4.636670665255123,4.64444043560673
2014-06,4.626746815576009,4.647122080394983
2014-07,4.637505626207844,4.650738752666215
2014-08,4.628496077039925,4.654896358346105
2014-09,4.631990171773143,4.659114244474143
2014-10,4.675986165310243,4.663285285869091
2014-11,4.693621477577938,4.667225361580247
2014-12,4.703288856922918,4.670621119251094
2015-01,4.674131875042209,4.673752130802908
2015-02,4.6812548180047315,4.677617207118897
2015-03,4.715203414738019,4.68189659561892
2015-04,4.646830247759863,4.686521032997234
2015-05,4.687870646582271,4.691639294901961
2015-06,4.686971988930533,4.696561733243679
2015-07,4.697629615808619,4.701424100425676
2015-08,4.693326179063056,4.705201865314076
2015-09,4.679861115146498,4.707005402092934
2015-10,4.709880294256881,4.70858354409447
2015-11,4.738967298955837,4.710707900435285
2015-12,4.725950076807038,4.713812664857992
2016-01,4.7319808620432084,4.718192247862363
2016-02,4.739406623797336,4.72166126476081
2016-03,4.747361253127598,4.724037498759086
2016-04,4.700493502887943,4.72685589797555
2016-05,4.728155136372727,4.729669180267713
2016-06,4.717527479200096,4.732787732897522
2016-07,4.722798688816003,4.736825631849267
2016-08,4.71532737786871,4.741184784790032
2016-09,4.724208711498267,4.745608852638066
2016-10,4.751581189499583,4.749750593068092
2016-11,4.795548659071827,4.753175978866801
2016-12,4.77612439290814,4.755671007206177
2017-01,4.763994492644552,4.757926737527097
2017-02,4.762092752100821,4.760328397541898
2017-03,4.7996924815634525,4.762990032554075
2017-04,4.7272524661897695,4.765949541208512
2017-05,4.76984226096357,4.768603610997351
2017-06,4.776268440231597,4.770854275413112
2017-07,4.753801927050796,4.772367267180613
2017-08,4.742383362669938,4.774043205485837
2017-09,4.743242081995604,4.776921753413523
2017-10,4.785074443800957,4.7803056687723275
2017-11,4.819889775074826,4.783650687448245
2017-12,4.8091684664568195,4.7864606987721325
2018-01,4.796415666861938,4.78844459151081
2018-02,4.782621981300917,4.790921060777067
2018-03,4.827165074081227,4.794042500970632
2018-04,4.766869346301907,4.796737768079515
2018-05,4.81297723153213,4.799139980467658
2018-06,4.804028053479187,4.800412938668026
2018-07,4.789437909187737,4.800324478630575
2018-08,4.777348656415228,4.799750130628531
2018-09,4.755432103227022,4.799307104176128
2018-10,4.806015039338423,4.799771807366823
2018-11,4.831931250205322,4.800982240930841
2018-12,4.818713530670894,4.802501035185801
2019-01,4.8133206380139955,4.80420213899044
2019-02,4.805297551946223,4.80602356875281
2019-03,4.8450854421076315,4.807791394090345
2019-04,4.770445389664861,4.809382204149429
2019-05,4.811574606667925,4.81133437505448
2019-06,4.808118078368105,4.813778005731153
2019-07,4.804545336202888,4.816305635122816
2019-08,4.789288228301849,4.819160045242571
2019-09,4.791338113006738,4.822488443657316
2019-10,4.840882976492627,4.8255936971047735
2019-11,4.8573536986390815,4.828001981511514
2019-12,4.850038492440342,4.830145679231546
